,(Intercept),scale(amp_EVI),scale(avg_LOS),scale(log_colony_size),scale(LOS),scale(max_EVI),scale(ratio),df,logLik,AICc,delta,weight
18,0.415464179,-0.405688361,NA,NA,NA,-0.215432006,NA,4,-99.04852646,206.7867081,0,0.158755654
22,0.404754476,-0.365696573,NA,-0.174181347,NA,-0.191490778,NA,5,-98.03165604,207.1159437,0.329235572,0.134659379
20,0.415085411,-0.434215027,-0.073537411,NA,NA,-0.192229198,NA,5,-98.79904621,208.650724,1.8640159,0.062511985
50,0.412879882,-0.410708842,NA,NA,NA,-0.221323171,-0.05590732,5,-98.8793869,208.8114054,2.024697281,0.057686179
6,0.416112655,-0.391566608,NA,-0.216483477,NA,NA,NA,4,-100.1661298,209.0219148,2.235206663,0.051923056
26,0.415560712,-0.402422148,NA,NA,0.008806612,-0.219571047,NA,5,-99.04581881,209.1442692,2.357561109,0.048841761
24,0.404360593,-0.391957034,-0.062424665,-0.170014309,NA,-0.171970141,NA,6,-97.84154029,209.1830806,2.396372481,0.04790309
30,0.405113933,-0.352282552,NA,-0.178315536,0.032161616,-0.205940008,NA,6,-97.99705365,209.4941073,2.707399213,0.041003878
54,0.403977145,-0.369761234,NA,-0.16694451,NA,-0.195036928,-0.024238628,6,-98.00123495,209.5024699,2.715761812,0.040832786
8,0.413460181,-0.435736352,-0.119316575,-0.200829518,NA,NA,NA,5,-99.38319825,209.8190281,3.032319987,0.034855337
2,0.433877591,-0.444066656,NA,NA,NA,NA,NA,3,-101.7067902,209.82036,3.033651888,0.034832133
4,0.43000206,-0.48905072,-0.140335906,NA,NA,NA,NA,4,-100.6880977,210.0658506,3.279142478,0.030808635
14,0.414548189,-0.417035989,NA,-0.198201038,-0.081164875,NA,NA,5,-99.83783907,210.7283097,3.941601618,0.022121842
52,0.412741451,-0.438181681,-0.071792626,NA,NA,-0.198380601,-0.05399213,6,-98.63829804,210.7765961,3.98988799,0.021594146
10,0.430535592,-0.470285952,NA,NA,-0.107988676,NA,NA,4,-101.0987554,210.8871659,4.100457833,0.020432716
28,0.415085065,-0.43422617,-0.073539675,NA,-2.72E-05,-0.192215585,NA,6,-98.79904618,211.0980924,4.311384271,0.018387556
58,0.412977842,-0.406766931,NA,NA,0.010677495,-0.226399993,-0.056172844,6,-98.87538439,211.2507688,4.464060682,0.017036122
38,0.416137499,-0.391135508,NA,-0.217198352,NA,NA,0.0025466,5,-100.165787,211.3842055,4.597497447,0.015936587
12,0.426113741,-0.513094144,-0.131570479,NA,-0.100267705,NA,NA,5,-100.1827921,211.4182159,4.631507775,0.015667874
56,0.403655703,-0.395835187,-0.062343461,-0.162821947,NA,-0.175502184,-0.024136166,7,-97.81080652,211.6579767,4.871268587,0.01389782
32,0.404654834,-0.380838192,-0.060324705,-0.173318701,0.024301787,-0.183612244,NA,7,-97.8222426,211.6808488,4.894140746,0.013739788
