"(Intercept)" "scale(amp_EVI)" "scale(avg_LOS)" "scale(log_colony_size)" "scale(LOS)" "scale(max_EVI)" "scale(ratio)" "df" "logLik" "AICc" "delta" "weight"
"18" 0.415464178987739 -0.405688361001031 NA NA NA -0.215432005950754 NA 4 -99.0485264601839 206.786708092782 0 0.158755654395501
"22" 0.404754476137316 -0.365696573470643 NA -0.174181346726505 NA -0.19149077774207 NA 5 -98.0316560426873 207.115943664322 0.329235571540409 0.134659378746247
"20" 0.415085410856672 -0.434215027148138 -0.0735374108870709 NA NA -0.192229198184142 NA 5 -98.7990462070537 208.650723993055 1.86401590027333 0.0625119854302351
"50" 0.412879882283247 -0.410708841932388 NA NA NA -0.221323170969947 -0.0559073196603306 5 -98.8793868972876 208.811405373523 2.02469728074107 0.0576861791296817
"6" 0.416112655413043 -0.391566607732223 NA -0.216483476523516 NA NA NA 4 -100.166129791791 209.021914755996 2.235206663214 0.0519230556533053
"26" 0.415560712155951 -0.402422148158263 NA NA 0.00880661185684156 -0.219571047032435 NA 5 -99.045818811383 209.144269201713 2.35756110893195 0.0488417607952725
"24" 0.404360593324408 -0.391957034423583 -0.0624246650896777 -0.170014309096058 NA -0.171970141330017 NA 6 -97.8415402870697 209.183080574139 2.39637248135796 0.0479030901421804
"30" 0.405113932565673 -0.352282552483287 NA -0.178315536170927 0.032161616431241 -0.205940008183245 NA 6 -97.9970536528653 209.494107305731 2.70739921294901 0.0410038780535555
"54" 0.403977145415222 -0.369761233657278 NA -0.166944510072149 NA -0.195036927524636 -0.0242386284950755 6 -98.0012349525205 209.502469905041 2.71576181225956 0.0408327864941943
"8" 0.413460180666687 -0.435736352038545 -0.119316575338737 -0.20082951783064 NA NA NA 5 -99.3831982503425 209.819028079632 3.03231998685084 0.0348553368059831
"2" 0.433877591164136 -0.444066656411217 NA NA NA NA NA 3 -101.70679015979 209.820359980596 3.03365188781447 0.0348321326049253
"4" 0.43000206029089 -0.489050719984142 -0.140335906393757 NA NA NA NA 4 -100.688097699193 210.0658505708 3.279142478018 0.030808635263081
"14" 0.414548188804823 -0.417035988916824 NA -0.198201037671985 -0.0811648747061497 NA NA 5 -99.837839066159 210.728309711265 3.94160161848382 0.0221218419976279
"52" 0.412741451171709 -0.438181681030503 -0.0717926263120044 NA NA -0.198380600759293 -0.0539921302204089 6 -98.6382980416262 210.776596083252 3.98988799047098 0.0215941460151792
"10" 0.430535591675573 -0.470285951907475 NA NA -0.107988676187219 NA NA 4 -101.09875537669 210.887165925794 4.10045783301285 0.0204327159412672
"28" 0.415085064725004 -0.434226169968077 -0.0735396751864766 NA -2.72249579558768e-05 -0.192215585252251 NA 6 -98.7990461818008 211.098092363602 4.3113842708201 0.0183875557884999
"58" 0.412977841688232 -0.406766931490974 NA NA 0.010677494799468 -0.226399992902536 -0.056172844444536 6 -98.8753843876298 211.25076877526 4.46406068247802 0.0170361220135958
"38" 0.416137498878078 -0.391135507563481 NA -0.217198351992636 NA NA 0.00254660025178964 5 -100.165786980391 211.38420553973 4.59749744694852 0.0159365869506028
